"var","split","estimate","conf.low","conf.high","p.value","sequence","Group"
"SOS response","Freshwater",0.233377086240177,0.0805853598409491,0.386168812639404,0.00275628078586278,1,"plastisphere"
"Osmolytes","Freshwater",0.688105762174493,0.540367858271182,0.835843666077804,6.9294213991301e-20,2,"plastisphere"
"Primary metabolism","Freshwater",0.529476281993295,0.315367618257413,0.743584945729176,1.25431685743838e-06,3,"plastisphere"
"Siderophores","Freshwater",0.0116721297275962,-0.178212632641358,0.201556892096551,0.904104433196987,4,"none"
"Uptake system","Freshwater",0.261694580693128,0.161627405724287,0.361761755661969,2.96471500940443e-07,5,"plastisphere"
"Bacterial biomass degradation enzyme","Freshwater",0.0749362804525427,-0.0466460444933509,0.196518605398436,0.227044217977574,6,"none"
"Chemotaxis","Freshwater",1.32165662815356,1.15096226319545,1.49235099311168,5.12606981650676e-52,7,"plastisphere"
"ROS generation","Freshwater",0.418181686665204,0.331056456767225,0.505306916563184,5.08607693627235e-21,8,"plastisphere"
"Sporulation","Freshwater",0.856232552014637,0.606202494477396,1.10626260955188,1.92063043216956e-11,9,"plastisphere"
"Antibiotic","Freshwater",0.635892551688778,0.479598172263811,0.792186931113746,1.53340350728118e-15,10,"plastisphere"
"Membrane synthesis and repair","Freshwater",0.843727577287112,0.603403120483631,1.08405203409059,5.94285091825353e-12,11,"plastisphere"
"Biofilm formation and adhesion","Freshwater",1.27144860650155,1.05496388905743,1.48793332394568,1.15888492072528e-30,12,"plastisphere"
"GC (%)","Freshwater",0.108418424104178,0.0857336527396028,0.131103195468753,7.43759948792789e-21,13,"plastisphere"
"rRNA gene copies","Freshwater",-0.192838708757253,-0.323639382115569,-0.0620380353989364,0.00385776404058981,14,"ckenvironment"
"Pathogenic interactions with human","Freshwater",0.665807943201513,0.529491859701149,0.802124026701876,1.03805538592997e-21,15,"plastisphere"
"Motility","Freshwater",0.972757446192956,0.752523212736721,1.19299167964919,4.8430796334874e-18,16,"plastisphere"
"Chaperons","Freshwater",0.276472924136024,0.0908084978651161,0.462137350406933,0.00351626642236807,17,"plastisphere"
"Amino acid, fatty acid and nucleotide synthesis","Freshwater",0.579956585267748,0.343825281625484,0.816087888910011,1.48070847553436e-06,18,"plastisphere"
"Genome size","Freshwater",0.351993577013041,0.184569418263475,0.519417735762607,3.77820924884908e-05,19,"plastisphere"
"Quorum sensing","Freshwater",0.159425437615626,-0.0129787153559291,0.331829590587181,0.0699218791806498,20,"none"
"Carbohydrate central metabolism","Freshwater",0.449476736320957,0.257266184555026,0.641687288086888,4.57699280428252e-06,21,"plastisphere"
"Sigma factor","Freshwater",1.05144500735895,0.782645769916697,1.32024424480121,1.76522758432132e-14,22,"plastisphere"
"Oligosaccharides degradation enzymes","Freshwater",-0.0729210958011927,-0.147470681033283,0.00162848943089752,0.0552189050494796,23,"none"
