"SampleName","ARG_category","transcriptional_activity","Normalized_abundance","abun_log10","ta_ln"
"HP1","Total",0.585474010037385,8346.42832000001,3.92150066796728,-0.53533348627651
"HP1","Aminoglycoside",0.294001122668214,53.584843,1.72904196259666,-1.22417169305138
"HP1","Bacitracin",0.650500247669411,2910.480526,3.46396469777,-0.430013600292661
"HP1","Beta-lactam",0.456582124590682,341.095283,2.53287571359902,-0.78398669460004
"HP1","MLS",0.544434423881063,2970.06587400001,3.47276608177426,-0.60800777750543
"HP1","Polymyxin",0.614387301027665,193.595004,2.28689414551769,-0.487129766262564
"HP1","Quinolone",0.0794636088156355,8.985308,0.953532968524328,-2.53245611286843
"HP1","Rifamycin",0.555179551960519,80.400236,1.90525732354133,-0.588463700510078
"HP1","Sulfonamide",1.26816753502799,23.639737,1.37364264056437,0.237572972703636
"HP1","Tetracenomycin_C",0.154570855530292,20.444805,1.31058297266351,-1.86710267592806
"HP1","Tetracycline",0.348976600240327,55.357107,1.74317338551723,-1.05275040704951
"HP1","Glycopeptide",0.585097015475134,1688.779597,3.22757297340012,-0.535977607080918
"HP2","Total",0.510543537053256,7943.69722199999,3.90002268245099,-0.67227936185367
"HP2","Aminoglycoside",0.247629656702372,67.913053,1.83195325441388,-1.39582096867887
"HP2","Bacitracin",0.537290822705447,2861.545878,3.45660071316683,-0.621215761785105
"HP2","Beta-lactam",0.380918956910076,308.100148,2.48869190693612,-0.965168638003851
"HP2","MLS",0.508774752418365,2757.995764,3.44059359480835,-0.675749890006679
"HP2","Polymyxin",0.523252484484899,178.36494,2.25130949207536,-0.647691169487847
"HP2","Quinolone",0.143214757291237,7.780127,0.890986686314757,-1.94340997605551
"HP2","Rifamycin",0.433871585619097,70.804344,1.85005990341513,-0.835006674334817
"HP2","Sulfonamide",1.4385902592002,20.265995,1.30676793116685,0.363663647400947
"HP2","Tetracenomycin_C",0.0559182882562683,17.370918,1.23982277019146,-2.88386379210685
"HP2","Tetracycline",0.223601257648056,63.66487,1.80389985661033,-1.49789091317293
"HP2","Glycopeptide",0.510235153608957,1589.891185,3.20136740144547,-0.672883574023265
"HP3","Total",0.542269607762423,7767.46855200001,3.89027950361089,-0.611991969924442
"HP3","Aminoglycoside",0.197235160496753,75.687793,1.87902584171635,-1.62335855404184
"HP3","Bacitracin",0.603896951856017,2830.17697100001,3.45181359281254,-0.504351705112686
"HP3","Beta-lactam",0.428970044300125,280.898528,2.44854946336266,-0.846368189298361
"HP3","MLS",0.514893652233954,2641.819339,3.42190311503548,-0.663794900159162
"HP3","Polymyxin",0.6041602751715,174.499467,2.24179410476619,-0.503915760003858
"HP3","Quinolone",0.178398394290513,7.753831,0.889516331031871,-1.72373605949045
"HP3","Rifamycin",0.544270303180127,67.222117,1.82751218541613,-0.608309274684784
"HP3","Sulfonamide",1.34164203792929,19.418711,1.28822039837495,0.293894265211039
"HP3","Tetracenomycin_C",0.146308523578192,13.332511,1.12491195067011,-1.92203771169491
"HP3","Tetracycline",0.30460743958583,61.839921,1.79126892610293,-1.18873141470302
"HP3","Glycopeptide",0.512289419074479,1594.819363,3.20271149987285,-0.668865542018613
