"var","split","estimate","conf.low","conf.high","p.value","sequence","Group"
"SOS response","Marine",-0.478344585776789,-0.770184210322368,-0.186504961231211,0.00131579864417629,1,"ckenvironment"
"Osmolytes","Marine",-1.01727219117457,-1.27761435995122,-0.75693002239792,1.88193997954434e-14,2,"ckenvironment"
"Primary metabolism","Marine",-0.31179095226355,-0.610406956483046,-0.013174948044055,0.0407133299379616,3,"ckenvironment"
"Siderophores","Marine",0.678354503018912,-0.026493296118777,1.3832023021566,0.0592553052860742,4,"none"
"Uptake system","Marine",0.120840995731795,-0.0722127353147745,0.313894726778365,0.219886705651247,5,"none"
"Bacterial biomass degradation enzyme","Marine",0.604225879635155,0.0766694192040923,1.13178234006622,0.0247807044884323,6,"plastisphere"
"Chemotaxis","Marine",2.25788439056666,1.94086682773773,2.57490195339559,2.75780579375097e-44,7,"plastisphere"
"ROS generation","Marine",-0.0120279381413431,-0.387207011611035,0.363151135328349,0.949898004297387,8,"none"
"Sporulation","Marine",-0.915639444121488,-1.34052634642209,-0.490752541820887,2.4025982513621e-05,9,"ckenvironment"
"Antibiotic","Marine",0.133729054964409,0.0806245525265015,0.186833557402316,7.98927817078169e-07,10,"plastisphere"
"Membrane synthesis and repair","Marine",-0.294561287579189,-0.643602015662874,0.0544794405044957,0.0981181114902771,11,"none"
"Biofilm formation and adhesion","Marine",1.00238992839859,0.493397815635346,1.51138204116184,0.000113443010009214,12,"plastisphere"
"GC (%)","Marine",0.138392856437223,0.0778806989088906,0.198905013965556,7.37778248900453e-06,13,"plastisphere"
"rRNA gene copies","Marine",-0.0992737860596246,-0.311481565804974,0.112933993685724,0.359195705732254,14,"none"
"Pathogenic interactions with human","Marine",0.661535232294026,0.517442441936775,0.805628022651278,2.29311052316688e-19,15,"plastisphere"
"Motility","Marine",1.10104426991032,0.725059882980145,1.47702865684049,9.48898112214256e-09,16,"plastisphere"
"Chaperons","Marine",-0.460278168109736,-0.706461513038744,-0.214094823180728,0.000247862496144894,17,"ckenvironment"
"Amino acid, fatty acid and nucleotide synthesis","Marine",-0.298451919376875,-0.552617904807174,-0.0442859339465755,0.0213651630488058,18,"ckenvironment"
"Genome size","Marine",0.402048208069828,0.362633528750449,0.441462887389206,6.39410918596858e-89,19,"plastisphere"
"Quorum sensing","Marine",-0.0120590411374061,-0.352035236480669,0.327917154205856,0.944575382847922,20,"none"
"Carbohydrate central metabolism","Marine",0.468151264664119,-0.010928113399269,0.947230642727507,0.0554598733187896,21,"none"
"Sigma factor","Marine",0.114365382696274,-0.189997892769918,0.418728658162467,0.461449496015271,22,"none"
"Oligosaccharides degradation enzymes","Marine",-0.150793165400385,-0.715708382842859,0.414122052042088,0.600852902791902,23,"none"
